商品,日期,CPI_同比,预测值,前值,CPI_同比_同比
中国CPI年率报告,2023-06,0.2,0.3,0.1,100.0
中国CPI年率报告,2023-07,0.0,0.2,0.2,-100.0
中国CPI年率报告,2023-08,-0.3,-0.4,0.0,-inf
中国CPI年率报告,2023-09,0.1,0.1,-0.3,-133.33333333333334
中国CPI年率报告,2023-10,0.0,0.2,0.1,-100.0
中国CPI年率报告,2023-11,-0.2,-0.1,0.0,-inf
中国CPI年率报告,2023-12,-0.5,-0.1,-0.2,150.0
中国CPI年率报告,2024-01,-0.3,-0.4,-0.5,-40.0
中国CPI年率报告,2024-02,-0.8,-0.5,-0.3,166.66666666666669
中国CPI年率报告,2024-03,0.7,0.3,-0.8,-187.5
中国CPI年率报告,2024-04,0.1,0.4,0.7,-85.71428571428571
中国CPI年率报告,2024-05,0.3,0.1,0.1,199.99999999999994
中国CPI年率报告,2024-06,0.3,0.4,0.3,0.0
中国CPI年率报告,2024-07,0.2,0.4,0.3,-33.33333333333333
中国CPI年率报告,2024-08,0.5,0.3,0.2,150.0
中国CPI年率报告,2024-09,0.6,0.7,0.5,19.999999999999996
中国CPI年率报告,2024-10,0.4,0.6,0.6,-33.33333333333333
中国CPI年率报告,2024-11,0.3,0.3,0.4,-25.00000000000001
中国CPI年率报告,2024-12,0.2,0.5,0.3,-33.33333333333333
中国CPI年率报告,2025-01,0.1,0.1,0.2,-50.0
中国CPI年率报告,2025-01,,,0.2,0.0
中国CPI年率报告,2025-02,0.5,0.4,0.1,400.0
中国CPI年率报告,2025-03,-0.7,-0.4,0.5,-240.0
中国CPI年率报告,2025-04,-0.1,0.0,-0.7,-85.71428571428571
中国CPI年率报告,2025-05,-0.1,-0.1,-0.1,0.0
中国CPI年率报告,2025-06,-0.1,-0.2,-0.1,0.0
中国CPI年率报告,2025-07,0.1,-0.1,-0.1,-200.0
中国CPI年率报告,2025-08,,-0.1,0.1,0.0
